School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Southern Boone,0.58,1.71,2.29,3,1,1
Whitfield,1.38,0.84,2.22,1,2,2
Lone Jack,0.99,-0.86,0.13,2,6,3
Lutheran St. Charles,-0.84,0.57,-0.27,5,3,4
Maryville,0.42,-1.4,-0.98,4,11,5
Father Tolton,-1.58,-0.43,-2.01,13,4,6
St. Pius X (Festus),-1.0,-1.11,-2.11,6,9,7
Smithton,-1.65,-0.71,-2.37,14,5,8
Cole Camp,-1.75,-0.98,-2.73,17,8,9
Bishop DuBourg,-1.54,-1.34,-2.87,12,10,10
Summit Christian Academy,-1.5,-1.43,-2.93,11,12,11
Laquey,-2.26,-0.94,-3.19,19,7,12
Fatima,-1.36,-2.48,-3.84,9,17,13
Missouri Military Academy,-1.72,-2.21,-3.93,16,14,14
Dixon,-1.04,-2.95,-3.99,7,19,15
Fair Grove,-2.54,-2.28,-4.82,21,15,16
Green Ridge,-3.07,-1.81,-4.89,23,13,17
Lutheran (Kansas City),-1.17,-4.15,-5.32,8,23,18
Wright City,-2.38,-2.99,-5.38,20,20,19
Winfield,-3.61,-2.47,-6.08,27,16,20
Canton,-1.8,-4.45,-6.25,18,24,21
Cristo Rey,-2.81,-3.64,-6.44,22,22,22
The Fulton School,-1.44,-5.07,-6.51,10,26,23
Knob Noster,-3.09,-3.45,-6.54,24,21,24
Trinity Catholic,-3.84,-2.93,-6.77,29,18,25
Crocker,-1.69,-5.93,-7.62,15,28,26
St. Paul Lutheran (Farmington),-3.74,-4.79,-8.53,28,25,27
Iberia,-3.35,-5.45,-8.8,25,27,28
Cameron,-3.4,-7.74,-11.14,26,29,29
Richland,-6.17,-7.87,-14.04,30,30,30
